# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.893204335123300552e-03 3.299004165455698967e-03 1.000000000000000000e+00 2.888347255066037178e-03 3.299004165455698967e-03 1.000000000000000000e+00 1.025793711342101178e+00
1.000000000000000000e+03 1.215117081301286817e-04 2.865879764613055158e-07 3.238071499822581245e-08 1.104155890061520040e-04 2.865879764613055158e-07 3.238071499822581245e-08 3.041617618900734898e-01
2.000000000000000000e+03 2.023614069912582636e-05 5.557163618163940555e-10 3.304911899704165990e-10 1.849510226747952402e-05 5.557163618163940555e-10 3.304911899704165990e-10 3.003451441930123922e-01
3.000000000000000000e+03 2.621911698952317238e-04 6.476427370216697454e-05 4.675187028624350205e-06 2.658242592588067055e-04 6.476427370216697454e-05 4.675187028624350205e-06 3.029605998552550306e-01
4.000000000000000000e+03 4.578113930620020255e-06 2.846086921692858596e-08 5.076259412817307748e-10 4.342219654063228518e-06 2.846086921692858596e-08 5.076259412817307748e-10 2.992327308023690624e-01
5.000000000000000000e+03 2.221958311565686017e-06 1.765787516205818974e-11 7.194245199571014382e-12 2.055944150924915448e-06 1.765787516205818974e-11 7.194245199571014382e-12 2.993033733297707499e-01
6.000000000000000000e+03 1.748372710608236957e-06 2.745679239524179138e-10 8.398275497256690869e-08 1.624208493922196794e-06 2.745679239524179138e-10 8.398275497256690869e-08 2.996218000104213797e-01
7.000000000000000000e+03 1.268672690457606222e-06 7.911523880466120318e-08 1.472704980187700130e-08 1.144001657849003095e-06 7.911523880466120318e-08 1.472704980187700130e-08 2.997418042413376726e-01
8.000000000000000000e+03 1.292855472456722055e-06 2.721600944610713668e-09 1.765787516205818974e-09 1.152103436652396340e-06 2.721600944610713668e-09 1.765787516205818974e-09 2.993269558626225901e-01
9.000000000000000000e+03 1.521523518022149801e-05 6.092978765082079917e-06 1.059702844941057265e-05 1.495274773333221674e-05 6.092978765082079917e-06 1.059702844941057265e-05 2.935838334435877939e-01
1.000000000000000000e+04 9.779212177818408236e-07 2.465928850003962225e-11 1.421085471520200372e-12 8.790586321083537769e-07 2.465928850003962225e-11 1.421085471520200372e-12 2.993646381837500314e-01
